author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243023/,Москва,sale,flat,9,27,2,69.4,-1,0,32340400.0,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая",44 м²,"9,7 м²",+74951387097,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/308629847/,Москва,sale,flat,26,41,2,46.0,-1,0,20950000.0,-1,-1,-1,-1,-1,24 м²,17 м²,+79854281089,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/308789447/,Москва,sale,flat,11,12,1,33.5,-1,0,8000000.0,1972,-1,-1,-1,-1,17 м²,7 м²,+79163568699,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,
VESPER,developer,https://www.cian.ru/sale/flat/286258299/,Москва,sale,flat,5,9,2,104.2,-1,0,150958800.0,2023,-1,-1,-1,Чистовая с мебелью,-1,28 м²,+74951387184,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308553708/,Москва,sale,flat,9,12,2,88.0,-1,0,59350000.0,-1,-1,-1,-1,-1,-1,10 м²,+79057198567,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/306451958/,Москва,sale,flat,3,12,2,37.0,-1,0,9500000.0,-1,-1,-1,-1,-1,26 м²,6 м²,+79104832520,Западное Дегунино,Коровинское шоссе,9К1,Селигерская,
VESPER,developer,https://www.cian.ru/sale/flat/308762624/,Москва,sale,flat,5,21,2,110.6,-1,0,108976392.0,2023,-1,Монолитный,-1,"Чистовая, чистовая с мебелью",-1,"34,6 м²",+74951347641,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679467/,Москва,sale,flat,4,20,2,64.29,-1,0,24166611.0,2024,-1,-1,-1,-1,"22,2 м²","19,9 м²",+79652908569,Даниловский,Автозаводская ,26,Тульская,FORST
Mikhail Uger,realtor,https://www.cian.ru/sale/flat/304113525/,Москва,sale,flat,17,25,1,36.8,-1,0,9900000.0,1982,-1,-1,-1,-1,18 м²,9 м²,+79099977805,Чертаново Северное,Северное Чертаново мкр,7кБ,Чертановская,
Tekta Group,developer,https://www.cian.ru/sale/flat/301259741/,Москва,sale,flat,24,42,2,43.0,-1,0,21606000.0,2023,-1,Монолитный,-1,"Без отделки, предчистовая",15 м²,-1,+74951387129,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308553460/,Москва,sale,flat,9,12,2,99.0,-1,0,96750000.0,-1,-1,-1,-1,-1,-1,10 м²,+79057198567,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/305111360/,Москва,sale,flat,4,16,2,37.0,-1,0,19000000.0,1977,-1,-1,-1,-1,20 м²,10 м²,+79652435417,Пресненский,Красногвардейский бульвар,5К2,Москва-Сити,
Главстрой,developer,https://www.cian.ru/sale/flat/306076580/,Москва,sale,flat,4,22,2,67.1,-1,0,28625560.0,2024,-1,Монолитно-кирпичный,-1,Без отделки,"21,5 м²","22,3 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306566143/,Москва,sale,flat,6,7,2,96.0,-1,0,260000000.0,-1,-1,-1,-1,-1,-1,10 м²,+79855162121,Хамовники, Льва Толстого,23к7с3,Парк Культуры,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539730/,Москва,sale,flat,2,6,2,63.0,-1,0,35990000.0,1931,-1,-1,-1,-1,40 м²,13 м²,+79660548113,Басманный,Чистопрудный бульвар,12К2,Чистые пруды,
VESPER,developer,https://www.cian.ru/sale/flat/308803465/,Москва,sale,flat,1,6,2,173.3,-1,0,363930000.0,2027,-1,-1,-1,Чистовая с мебелью,-1,-1,+74951346294,Пресненский,Трехпрудный переулок,9С2,Пушкинская,Клубный дом Левенсон
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308343895/,Москва,sale,flat,8,29,2,69.1,-1,0,31095000.0,-1,-1,-1,-1,-1,-1,"28,7 м²",+79057198567,Якиманка,Мытная ,40к3,Шаболовская,Sky House
ID 78359787,homeowner,https://www.cian.ru/sale/flat/306775783/,Москва,sale,flat,2,9,2,37.4,-1,0,14490000.0,1965,-1,-1,-1,-1,"18,7 м²",7 м²,+79852520136,Нагатино-Садовники,Высокая ,20,Коломенская,
MR Group,developer,https://www.cian.ru/sale/flat/306610643/,Москва,sale,flat,2,59,2,31.1,-1,0,,2028,-1,Монолитно-кирпичный,-1,Предчистовая,"15,7 м²",-1,+74951370518,Можайский,,,Давыдково,Веер ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/309003049/,Москва,sale,flat,4,11,2,67.31,-1,0,72000000.0,2020,-1,-1,-1,-1,-1,-1,+79153257493,Дорогомилово,,3к3,Парк Победы,Виктори Парк Резиденсез ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/308805101/,Москва,sale,flat,4,6,1,35.1,-1,0,23000000.0,1902,-1,-1,-1,-1,-1,-1,+79623676737,Басманный, Покровка,38С1,Курская,
MR Group,developer,https://www.cian.ru/sale/flat/300287890/,Москва,sale,flat,5,43,2,57.89,-1,0,26965162.0,2025,-1,Монолитный,-1,"Предчистовая, чистовая","24,1 м²",-1,+74951374843,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308907059/,Москва,sale,flat,10,32,2,64.4,-1,0,51000000.0,2023,-1,-1,-1,-1,-1,-1,+79165921998,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
ID 74991203,homeowner,https://www.cian.ru/sale/flat/308079051/,Москва,sale,flat,3,24,2,53.2,-1,0,19570000.0,-1,-1,-1,-1,-1,-1,17 м²,+79647979823,Донской,Новоданиловская набережная,8к2,Верхние котлы,Новоданиловская 8
UNIQ Development,developer,https://www.cian.ru/sale/flat/307668235/,Москва,sale,flat,3,25,2,64.3,-1,0,50154000.0,2027,-1,-1,-1,Чистовая,"55,4 м²",-1,+74951464743,Фили-Давыдково,Малая Филевская ,46,Кунцевская,Springs
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308907057/,Москва,sale,flat,5,21,2,64.76,-1,0,68500000.0,2021,-1,-1,-1,-1,-1,-1,+79623648720,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
КОРТРОС,developer,https://www.cian.ru/sale/flat/296640098/,Москва,sale,flat,3,49,2,58.94,-1,0,23988580.0,2027,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая",23 м²,-1,+74951387167,Марьина роща,,,Марьина Роща,Тэйт ЖК
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,-1,0,154000000.0,2023,-1,-1,-1,-1,-1,10 м²,+79660272578,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Absolute Premium,developer,https://www.cian.ru/sale/flat/308261025/,Москва,sale,flat,4,17,2,49.8,-1,0,57968000.0,2026,-1,Монолитный,-1,"Без отделки, предчистовая","27,9 м²",-1,+74951387189,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679729/,Москва,sale,flat,9,20,2,59.0,-1,0,25370000.0,2024,-1,-1,-1,-1,"24,1 м²","20,1 м²",+79652908569,Даниловский,,,Тульская,Форст ЖК
MR Group,developer,https://www.cian.ru/sale/flat/308909118/,Москва,sale,flat,6,13,2,85.19,-1,0,126021567.0,2025,-1,Монолитно-кирпичный,-1,Чистовая,"33,4 м²","20,3 м²",+74951387239,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,-1,0,32000000.0,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Sminex,developer,https://www.cian.ru/sale/flat/293713880/,Москва,sale,flat,2,14,2,85.6,-1,0,175450000.0,2024,-1,Монолитный,-1,Без отделки,"34,6 м²","15,5 м²",+74951375467,Якиманка,,,Боровицкая,Лаврушинский ЖК
